Optimal threshold:  129.42289089510643
No: 1,	Region: 1.0,	Area: 423,	Centroid: (13, 20)
No: 2,	Region: 2.0,	Area: 182,	Centroid: (4, 63)
No: 3,	Region: 3.0,	Area: 658,	Centroid: (12, 108)
No: 4,	Region: 4.0,	Area: 433,	Centroid: (9, 154)
No: 5,	Region: 5.0,	Area: 472,	Centroid: (13, 246)
No: 6,	Region: 8.0,	Area: 275,	Centroid: (15, 197)
No: 7,	Region: 9.0,	Area: 71,	Centroid: (21, 137)
No: 8,	Region: 10.0,	Area: 260,	Centroid: (27, 218)
No: 9,	Region: 11.0,	Area: 222,	Centroid: (26, 44)
No: 10,	Region: 16.0,	Area: 20,	Centroid: (26, 0)
No: 11,	Region: 17.0,	Area: 489,	Centroid: (33, 173)
No: 12,	Region: 21.0,	Area: 629,	Centroid: (41, 73)
No: 13,	Region: 24.0,	Area: 88,	Centroid: (44, 7)
No: 14,	Region: 25.0,	Area: 221,	Centroid: (47, 233)
No: 15,	Region: 29.0,	Area: 439,	Centroid: (54, 138)
No: 16,	Region: 30.0,	Area: 388,	Centroid: (59, 194)
No: 17,	Region: 33.0,	Area: 506,	Centroid: (57, 28)
No: 18,	Region: 36.0,	Area: 415,	Centroid: (73, 98)
No: 19,	Region: 37.0,	Area: 263,	Centroid: (70, 214)
No: 20,	Region: 43.0,	Area: 336,	Centroid: (73, 245)
No: 21,	Region: 44.0,	Area: 153,	Centroid: (72, 167)
No: 22,	Region: 48.0,	Area: 390,	Centroid: (84, 63)
No: 23,	Region: 51.0,	Area: 394,	Centroid: (84, 129)
No: 24,	Region: 55.0,	Area: 242,	Centroid: (86, 33)
No: 25,	Region: 56.0,	Area: 503,	Centroid: (97, 7)
No: 26,	Region: 58.0,	Area: 278,	Centroid: (94, 222)
No: 27,	Region: 60.0,	Area: 653,	Centroid: (99, 174)
No: 28,	Region: 64.0,	Area: 176,	Centroid: (105, 250)
No: 29,	Region: 67.0,	Area: 351,	Centroid: (111, 102)
No: 30,	Region: 69.0,	Area: 535,	Centroid: (122, 37)
No: 31,	Region: 70.0,	Area: 593,	Centroid: (129, 126)
No: 32,	Region: 74.0,	Area: 184,	Centroid: (122, 62)
No: 33,	Region: 75.0,	Area: 627,	Centroid: (132, 164)
No: 34,	Region: 76.0,	Area: 592,	Centroid: (127, 223)
No: 35,	Region: 78.0,	Area: 262,	Centroid: (139, 7)
No: 36,	Region: 82.0,	Area: 891,	Centroid: (162, 89)
No: 37,	Region: 84.0,	Area: 233,	Centroid: (146, 66)
No: 38,	Region: 86.0,	Area: 466,	Centroid: (153, 245)
No: 39,	Region: 89.0,	Area: 161,	Centroid: (156, 188)
No: 40,	Region: 91.0,	Area: 394,	Centroid: (163, 136)
No: 41,	Region: 94.0,	Area: 405,	Centroid: (168, 16)
No: 42,	Region: 96.0,	Area: 236,	Centroid: (166, 213)
No: 43,	Region: 99.0,	Area: 370,	Centroid: (171, 44)
No: 44,	Region: 101.0,	Area: 644,	Centroid: (181, 179)
No: 45,	Region: 104.0,	Area: 374,	Centroid: (184, 232)
No: 46,	Region: 108.0,	Area: 563,	Centroid: (197, 130)
No: 47,	Region: 111.0,	Area: 64,	Centroid: (200, 253)
No: 48,	Region: 112.0,	Area: 163,	Centroid: (202, 205)
No: 49,	Region: 114.0,	Area: 456,	Centroid: (215, 26)
No: 50,	Region: 117.0,	Area: 603,	Centroid: (214, 102)
No: 51,	Region: 120.0,	Area: 529,	Centroid: (217, 62)
No: 52,	Region: 122.0,	Area: 203,	Centroid: (225, 3)
No: 53,	Region: 124.0,	Area: 551,	Centroid: (227, 234)
No: 54,	Region: 126.0,	Area: 845,	Centroid: (229, 180)
No: 55,	Region: 129.0,	Area: 270,	Centroid: (233, 138)
No: 56,	Region: 130.0,	Area: 208,	Centroid: (240, 46)
No: 57,	Region: 131.0,	Area: 87,	Centroid: (251, 127)
No: 58,	Region: 132.0,	Area: 74,	Centroid: (251, 178)
No: 59,	Region: 133.0,	Area: 50,	Centroid: (251, 234)
No: 60,	Region: 134.0,	Area: 47,	Centroid: (251, 73)
-------------- Runlength Code -------------------
